#{"t_start": 1687619958.4299483, "env_id": null}
r,l,t
2.0,5,1.461772
1.5,4,1.949087
1.5,4,2.38745
1.5,4,2.788505
2.0,5,3.271007
2.0,8,3.935194
3.0,16,5.066852
6.0,13,6.120661
4.0,9,7.190379
2.5,12,8.15496
2.5,6,8.825461
2.0,5,9.396538
1.5,4,9.833826
1.5,4,10.295144
-7.5,39,11.691545
6.5,14,12.703116
2.0,5,13.147687
2.0,5,13.696985
1.5,4,14.093158
1.5,4,14.487949
1.5,4,14.889489
1.5,4,15.363376
2.0,5,15.913504
2.0,5,16.366476
1.5,4,16.868988
1.5,4,17.291785
1.5,4,17.701352
1.5,4,18.114799
1.5,4,18.508996
1.5,4,18.92326
3.5,14,19.916558
2.5,9,20.807664
2.0,5,21.445008
2.5,6,22.325915
-2.5,29,23.627839
1.5,4,24.043428
2.0,5,24.484061
2.0,5,24.933851
2.0,5,25.480628
4.0,9,26.287401
2.0,5,26.870177
2.0,5,27.345816
3.5,11,28.23231
3.5,8,28.847569
2.0,5,29.323459
1.5,4,29.720889
3.5,11,30.555672
1.5,4,30.95582
2.0,5,31.412388
7.0,15,32.44627
2.0,5,32.985258
3.0,7,33.672568
5.5,12,34.585853
2.5,6,35.3258
2.0,5,35.829626
1.5,4,36.240254
1.5,4,36.705414
2.5,6,37.386013
1.5,4,37.812096
1.5,4,38.221413
1.5,4,38.634615
2.5,6,39.324042
2.0,5,39.783289
1.5,4,40.193344
2.0,5,40.669761
2.0,5,41.29208
5.0,11,42.195293
2.5,6,42.896702
1.5,4,43.323668
2.0,5,43.861309
1.5,4,44.278866
3.0,10,45.08713
1.5,4,45.536406
2.0,5,46.155503
2.0,5,46.608922
2.0,5,47.180672
